0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2207,80594,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",24618,64552,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,162783,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(ii)Other securities,0,277365,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(i) Debt,58,113460,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(ii) Shares,0,20696,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,0,25247,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,22598,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(v) Lease receivables,0,0,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,677685,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,88039,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,406495,"Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At January 31, 2023, (in thousands of dollars)"
