Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",12971,244896,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,200000,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,91615,652518,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,47426,244486,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,9055,1464696,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,0,2285,"Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
